══════════════════════════════════════════════════
  TOKENS RECONHECIDOS
══════════════════════════════════════════════════
  Linha  | Token                | Atributo
  54     | LIT_TEXTO            | " Total com IVA:  "
  54     | VIRGULA              |
  54     | IDENTIFICADOR        | "total"
  54     | FECHARPAR            |
  55     | FECHARCHAV           |
  56     | FECHARCHAV           |
  56     | EOF                  |
══════════════════════════════════════════════════
  Total de tokens: 181  |  Erros léxicos: 0
══════════════════════════════════════════════════
